Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD0001,City_85,College_45,1st,AI,LinkedIn
LD0002,City_62,College_77,4th,ML,Whatsapp
LD0003,City_72,College_113,1st,Cyber Security,College Collaboration
LD0004,City_100,College_171,4th,Cyber Security,Google Form
LD0005,,College_47,4th,Cyber Security,Whatsapp
LD0006,City_82,College_54,1st,Data Science,Mass-Mailing
LD0007,City_66,College_125,2nd,AI,Mass-Mailing
LD0008,City_39,College_62,1st,statistics,Whatsapp
LD0009,City_90,College_14,1st,ML,Whatsapp
LD0010,City_80,College_171,2nd,Cyber Security,Instagram
LD0011,,,2nd,AI,Google Form
LD0012,City_4,College_53,2nd,ML,X
LD0013,City_47,College_31,3rd,Cyber Security,Google Form
LD0014,City_55,College_41,1st,Cyber Security,Instagram
LD0015,City_82,College_114,1st,Cyber Security,LinkedIn
LD0016,City_16,College_56,4th,statistics,College Collaboration
LD0017,,College_62,,AI,
LD0018,City_4,College_19,3rd,ML,Instagram
LD0019,City_60,College_86,4th,AI,X
LD0020,City_1,College_56,2nd,statistics,Instagram
LD0021,City_74,College_167,4th,statistics,Instagram
LD0022,City_33,College_92,3rd,Data Science,Google Form
LD0023,City_68,,1st,Data Science,Instagram
LD0024,City_21,College_115,2nd,AI,X
LD0025,City_41,,3rd,Data Science,College Collaboration
LD0026,City_93,College_69,1st,Cyber Security,Whatsapp
LD0027,City_71,,1st,statistics,Google Form
LD0028,City_75,College_171,2nd,statistics,College Collaboration
LD0029,City_48,College_53,3rd,ML,College Collaboration
LD0030,City_82,,1st,AI,College Collaboration
LD0031,City_85,College_101,3rd,Data Science,Instagram
LD0032,City_73,College_35,3rd,Data Science,LinkedIn
LD0033,City_77,College_56,1st,AI,
LD0034,City_44,College_133,4th,Data Science,College Collaboration
LD0035,City_68,College_56,4th,AI,LinkedIn
LD0036,,College_193,1st,ML,Whatsapp
LD0037,City_68,College_191,3rd,Data Science,LinkedIn
LD0038,City_82,College_167,4th,Cyber Security,College Collaboration
LD0039,City_67,College_75,4th,AI,College Collaboration
LD0040,City_47,College_195,2nd,Cyber Security,Mass-Mailing
